feature_id	GSE28829	GSE43292
1552383_at	45507.0	33297.0
1552384_a_at	48525.0	33297.0
1552386_at	3177.0	33297.0
1552388_at	52127.0	33297.0
1552389_at	29733.0	33297.0
1552390_a_at	31679.0	33297.0
1552391_at	28919.0	33297.0
1552393_at	10989.0	33297.0
1552394_a_at	12227.0	33297.0
1552395_at	27327.0	33297.0
1552396_at	12946.0	33297.0
1552398_a_at	34762.0	33297.0
1552399_a_at	29464.0	33297.0
1552400_a_at	25473.0	33297.0
1552401_a_at	6350.0	33297.0
1552402_at	31049.0	33297.0
1552405_at	30966.0	33297.0
1552408_at	8284.0	33297.0
1552409_a_at	21767.0	33297.0
1552410_at	49231.0	33297.0
1552411_at	34691.0	33297.0
1552412_a_at	23272.0	33297.0
1552414_at	35525.0	33297.0
1552415_a_at	39315.0	33297.0
1552417_a_at	47971.0	33297.0
1552418_at	18448.0	33297.0
1552419_s_at	5313.0	33297.0
1552421_a_at	15431.0	33297.0
1552422_at	9108.0	33297.0
1552423_at	17711.0	33297.0
1552424_at	21837.0	33297.0
1552425_a_at	17885.0	33297.0
1552426_a_at	24879.0	33297.0
1552427_at	10195.0	33297.0
1552430_at	16045.0	33297.0
1552432_at	27588.0	33297.0
1552436_a_at	24099.0	33297.0
1552438_a_at	20000.0	33297.0
1552439_s_at	4571.0	33297.0
1552440_at	20070.0	33297.0
1552445_a_at	27799.0	33297.0
1552448_a_at	34201.0	33297.0
1552449_a_at	40575.0	33297.0
1552450_a_at	33848.0	33297.0
1552452_at	23765.0	33297.0
1552453_a_at	49378.0	33297.0
1552455_at	52930.0	33297.0
1552456_a_at	27243.0	33297.0
1552457_a_at	39200.0	33297.0
1552458_at	23314.0	33297.0
1552459_a_at	29224.0	33297.0
1552461_at	26928.0	33297.0
1552463_at	15830.0	33297.0
1552466_x_at	30412.0	33297.0
1552467_at	17116.0	33297.0
1552468_a_at	24597.0	33297.0
1552470_a_at	49545.0	33297.0
1552472_a_at	20488.0	33297.0
1552473_at	25747.0	33297.0
1552474_a_at	32351.0	33297.0
1552476_s_at	45147.0	33297.0
1552477_a_at	17000.0	33297.0
1552478_a_at	9075.0	33297.0
1552480_s_at	21941.0	33297.0
1552481_s_at	30854.0	33297.0
1552482_at	4993.0	33297.0
1552484_at	18673.0	33297.0
1552485_at	28610.0	33297.0
1552486_s_at	4230.0	33297.0
1552487_a_at	44502.0	33297.0
1552489_s_at	34008.0	33297.0
1552490_at	16471.0	33297.0
1552491_at	32988.0	33297.0
1552493_s_at	42737.0	33297.0
1552494_at	43983.0	33297.0
1552496_a_at	29527.0	33297.0
1552497_a_at	2089.0	33297.0
1552498_at	44836.0	33297.0
1552499_a_at	19016.0	33297.0
1552501_a_at	36327.0	33297.0
1552502_s_at	29704.0	33297.0
1552503_at	47320.0	33297.0
1552504_a_at	2653.0	33297.0
1552506_at	16963.0	33297.0
