feature_id	meta_logFC	meta_se	meta_z	meta_p	tau2	I2	k	fdr	n	pos	neg	sign_concordance
1553028_at							1		1	1	0	1
1553030_a_at							1		1	0	1	1
1553031_at							1		1	1	0	1
1553032_at							1		1	0	1	1
1553033_at							1		1	1	0	1
1553034_at							1		1	1	0	1
1553036_at							1		1	0	1	1
1553037_a_at							1		1	1	0	1
1553039_a_at							1		1	0	1	1
1553041_at							1		1	0	1	1
1553042_a_at							1		1	1	0	1
1553043_a_at							1		1	1	0	1
1553044_at							1		1	0	1	1
1553045_at							1		1	0	1	1
1553046_s_at							1		1	0	1	1
1553047_at							1		1	1	0	1
1553048_a_at							1		1	0	1	1
1553051_s_at							1		1	0	1	1
1553052_at							1		1	1	0	1
1553053_at							1		1	0	1	1
1553055_a_at							1		1	1	0	1
1553057_at							1		1	1	0	1
1553058_at							1		1	0	1	1
1553059_at							1		1	1	0	1
1553060_at							1		1	0	1	1
1553061_at							1		1	0	1	1
1553062_at							1		1	0	1	1
1553063_at							1		1	0	1	1
1553064_at							1		1	1	0	1
1553066_at							1		1	1	0	1
1553067_a_at							1		1	1	0	1
1553069_at							1		1	0	1	1
1553070_a_at							1		1	0	1	1
1553071_a_at							1		1	1	0	1
1553072_at							1		1	1	0	1
1553074_at							1		1	0	1	1
1553075_a_at							1		1	0	1	1
1553076_at							1		1	0	1	1
1553077_at							1		1	0	1	1
1553078_at							1		1	0	1	1
1553079_at							1		1	0	1	1
1553080_at							1		1	1	0	1
1553081_at							1		1	0	1	1
1553082_at							1		1	0	1	1
1553083_at							1		1	0	1	1
1553084_at							1		1	0	1	1
1553086_at							1		1	0	1	1
1553087_at							1		1	0	1	1
1553088_a_at							1		1	1	0	1
1553089_a_at							1		1	0	1	1
1553093_a_at							1		1	0	1	1
1553094_at							1		1	1	0	1
1553096_s_at							1		1	1	0	1
1553099_at							1		1	0	1	1
1553101_a_at							1		1	0	1	1
1553102_a_at							1		1	0	1	1
1553103_at							1		1	0	1	1
1553105_s_at							1		1	1	0	1
1553106_at							1		1	0	1	1
1553107_s_at							1		1	1	0	1
1553108_at							1		1	0	1	1
1553111_a_at							1		1	0	1	1
1553112_s_at							1		1	0	1	1
1553113_s_at							1		1	0	1	1
1553114_a_at							1		1	1	0	1
1553115_at							1		1	0	1	1
1553117_a_at							1		1	1	0	1
1553118_at							1		1	0	1	1
1553120_at							1		1	0	1	1
1553122_s_at							1		1	0	1	1
1553123_at							1		1	1	0	1
1553125_x_at							1		1	1	0	1
1553126_a_at							1		1	1	0	1
